title, url, img, ingredient
"Coconut Turmeric Chicken Soup","https://www.budgetbytes.com/coconut-turmeric-chicken-soup/","https://www.budgetbytes.com/wp-content/uploads/2019/02/Coconut-Turmeric-Chicken-Soup-with-lime-347x260.jpg","skinless chicken breast (about 3/4 lb.)*"
"Coconut Turmeric Chicken Soup","https://www.budgetbytes.com/coconut-turmeric-chicken-soup/","https://www.budgetbytes.com/wp-content/uploads/2019/02/Coconut-Turmeric-Chicken-Soup-with-lime-347x260.jpg","chicken broth**"
"Coconut Turmeric Chicken Soup","https://www.budgetbytes.com/coconut-turmeric-chicken-soup/","https://www.budgetbytes.com/wp-content/uploads/2019/02/Coconut-Turmeric-Chicken-Soup-with-lime-347x260.jpg","coconut milk "
"Coconut Turmeric Chicken Soup","https://www.budgetbytes.com/coconut-turmeric-chicken-soup/","https://www.budgetbytes.com/wp-content/uploads/2019/02/Coconut-Turmeric-Chicken-Soup-with-lime-347x260.jpg","salt (or to taste)"
"Banana Flax Muffins","https://www.budgetbytes.com/banana-flax-muffins/","https://www.budgetbytes.com/wp-content/uploads/2019/02/Banana-Flax-Muffins-close-up-347x260.jpg","mashed ripe bananas*"
"Banana Flax Muffins","https://www.budgetbytes.com/banana-flax-muffins/","https://www.budgetbytes.com/wp-content/uploads/2019/02/Banana-Flax-Muffins-close-up-347x260.jpg","egg"
"Banana Flax Muffins","https://www.budgetbytes.com/banana-flax-muffins/","https://www.budgetbytes.com/wp-content/uploads/2019/02/Banana-Flax-Muffins-close-up-347x260.jpg","brown sugar"
"Banana Flax Muffins","https://www.budgetbytes.com/banana-flax-muffins/","https://www.budgetbytes.com/wp-content/uploads/2019/02/Banana-Flax-Muffins-close-up-347x260.jpg","vanilla"
"Banana Flax Muffins","https://www.budgetbytes.com/banana-flax-muffins/","https://www.budgetbytes.com/wp-content/uploads/2019/02/Banana-Flax-Muffins-close-up-347x260.jpg","olive oil"
"Banana Flax Muffins","https://www.budgetbytes.com/banana-flax-muffins/","https://www.budgetbytes.com/wp-content/uploads/2019/02/Banana-Flax-Muffins-close-up-347x260.jpg","all-purpose flour"
"Banana Flax Muffins","https://www.budgetbytes.com/banana-flax-muffins/","https://www.budgetbytes.com/wp-content/uploads/2019/02/Banana-Flax-Muffins-close-up-347x260.jpg","baking powder"
"Banana Flax Muffins","https://www.budgetbytes.com/banana-flax-muffins/","https://www.budgetbytes.com/wp-content/uploads/2019/02/Banana-Flax-Muffins-close-up-347x260.jpg","salt"
"Banana Flax Muffins","https://www.budgetbytes.com/banana-flax-muffins/","https://www.budgetbytes.com/wp-content/uploads/2019/02/Banana-Flax-Muffins-close-up-347x260.jpg","ground flaxseed"
"Banana Flax Muffins","https://www.budgetbytes.com/banana-flax-muffins/","https://www.budgetbytes.com/wp-content/uploads/2019/02/Banana-Flax-Muffins-close-up-347x260.jpg","chopped walnuts (optional)"
"Sesame Tempeh Bowls","https://www.budgetbytes.com/sesame-tempeh-bowls/","https://www.budgetbytes.com/wp-content/uploads/2019/02/Sesame-Tempeh-eat-347x260.jpg","soy sauce"
"Sesame Tempeh Bowls","https://www.budgetbytes.com/sesame-tempeh-bowls/","https://www.budgetbytes.com/wp-content/uploads/2019/02/Sesame-Tempeh-eat-347x260.jpg","water"
"Sesame Tempeh Bowls","https://www.budgetbytes.com/sesame-tempeh-bowls/","https://www.budgetbytes.com/wp-content/uploads/2019/02/Sesame-Tempeh-eat-347x260.jpg","sesame oil"
"Sesame Tempeh Bowls","https://www.budgetbytes.com/sesame-tempeh-bowls/","https://www.budgetbytes.com/wp-content/uploads/2019/02/Sesame-Tempeh-eat-347x260.jpg","brown sugar"
"Sesame Tempeh Bowls","https://www.budgetbytes.com/sesame-tempeh-bowls/","https://www.budgetbytes.com/wp-content/uploads/2019/02/Sesame-Tempeh-eat-347x260.jpg","rice vinegar"
